#PHOTRON WAVE DATA
#SheetType,,A
#Date,,2021/3/25
#Time,,22:30:0
#CameraType,,FASTCAM SA-X type 324K-M1
#CameraID,,15
#AnalogBoardType,,CONTEC AIO-163202FX-USB,
#AnalogBoardID,,00
#FrameRate(fps),,125
#SaveStep,,1
#ShutterSpeed(sec),,1/1000
#ImageWidth,,256
#ImageHeight,,1024
#TriggerMode,,End
#NumberOfFrames,,17391
#FrameRange,,-17390 to 0
#UseZeroFrame,,1
#SamplingRate(sps),,125.000000
#Sampling/Frame,,1
#NumberOfDatas,,17391
#Sloap,,,1.000000,1.000000
#Intercept,,,0.000000,0.000000

DataNo,FrameNo,SampleNo,Ch0,Ch1
489,-16901,0,0.157471,-0.001831
490,-16900,0,0.128479,-0.004272
491,-16899,0,0.167236,-0.002747
492,-16898,0,0.120850,-0.007935
493,-16897,0,0.099487,-0.009766
494,-16896,0,0.119324,-0.012512
495,-16895,0,0.139771,-0.029907
496,-16894,0,0.160522,-0.003357
497,-16893,0,0.158386,-0.005188
498,-16892,0,0.139465,-0.005798
499,-16891,0,0.108032,-0.006104
500,-16890,0,0.128174,-0.004272
501,-16889,0,0.153198,-0.002441
502,-16888,0,0.161438,-0.018616
503,-16887,0,0.183411,0.006104
504,-16886,0,0.187988,-0.001221
505,-16885,0,0.120239,-0.022888
506,-16884,0,0.173035,0.012817
507,-16883,0,0.136108,0.015564
508,-16882,0,0.234985,0.007629
509,-16881,0,0.138245,-0.024414
510,-16880,0,0.156250,-0.001221
511,-16879,0,0.202637,0.014343
512,-16878,0,0.105286,-0.003967
513,-16877,0,0.133972,-0.018616
514,-16876,0,0.130005,-0.016479
515,-16875,0,0.260925,0.007629
516,-16874,0,0.231323,0.006714
517,-16873,0,0.159302,-0.003662
518,-16872,0,0.167847,-0.003357
519,-16871,0,0.166626,0.000000
520,-16870,0,0.240479,0.001831
521,-16869,0,0.194702,-0.012817
522,-16868,0,0.165100,-0.007629
523,-16867,0,0.198975,0.003662
524,-16866,0,0.238647,-0.001221
525,-16865,0,0.164795,-0.002441
526,-16864,0,0.069885,-0.012817
527,-16863,0,0.096130,0.001221
528,-16862,0,0.153198,0.000916
529,-16861,0,0.172424,-0.003052
530,-16860,0,0.076599,-0.013428
531,-16859,0,0.246582,0.015869
532,-16858,0,0.264893,0.004272
533,-16857,0,0.224609,0.002441
534,-16856,0,0.173340,0.029602
535,-16855,0,0.226746,0.002441
536,-16854,0,0.191040,-0.018921
537,-16853,0,0.197144,0.002441
538,-16852,0,0.195313,-0.011597
539,-16851,0,0.227051,-0.000916
540,-16850,0,0.073547,-0.014954
541,-16849,0,0.145874,-0.016785
542,-16848,0,0.190125,-0.003357
543,-16847,0,0.112305,-0.011902
544,-16846,0,0.144348,-0.017090
545,-16845,0,0.231628,-0.003052
546,-16844,0,0.181274,-0.026855
547,-16843,0,0.136414,-0.012817
548,-16842,0,0.231934,0.000610
549,-16841,0,0.179138,0.000305
550,-16840,0,0.205078,0.000305
551,-16839,0,0.166626,0.000610
552,-16838,0,0.288086,0.006104
553,-16837,0,0.174255,-0.019836
554,-16836,0,0.288086,0.005188
555,-16835,0,0.162659,-0.004883
556,-16834,0,0.205078,0.009766
557,-16833,0,0.172424,0.000000
558,-16832,0,0.175781,-0.019226
559,-16831,0,0.129089,-0.014343
560,-16830,0,0.199585,0.009766
561,-16829,0,0.186157,-0.002136
562,-16828,0,0.097046,-0.015869
563,-16827,0,0.217896,-0.005798
564,-16826,0,0.267639,-0.001221
565,-16825,0,0.208740,0.016174
566,-16824,0,0.123901,-0.016479
