(sec),(mm),(kgf)
32.2,2.14666,2.6942
32.3,2.1533,2.69237
32.4,2.16011,2.66575
32.5,2.1667,2.67334
32.6,2.17328,2.68817
32.7,2.18003,2.68568
32.8,2.18668,2.69867
32.9,2.19332,2.69325
33,2.20002,2.71964
33.1,2.20671,2.7096
33.2,2.21336,2.69923
33.3,2.22,2.71173
33.4,2.22653,2.73405
33.5,2.23339,2.72361
33.6,2.23998,2.73401
33.7,2.24662,2.7223
33.8,2.25343,2.7494
33.9,2.25996,2.75047
34,2.26661,2.73629
34.1,2.27346,2.74535
34.2,2.27989,2.76677
34.3,2.28653,2.75323
34.4,2.2935,2.75963
34.5,2.29998,2.78378
34.6,2.30662,2.77228
34.7,2.31348,2.77255
34.8,2.32002,2.77113
34.9,2.32661,2.79391
35,2.3333,2.81075
35.1,2.34,2.7742
35.2,2.34669,2.78431
35.3,2.35339,2.80866
35.4,2.35998,2.78629
35.5,2.36668,2.78023
35.6,2.37332,2.792
35.7,2.37996,2.78925
35.8,2.38671,2.82242
35.9,2.3933,2.79523
36,2.4,2.81488
36.1,2.40675,2.81454
36.2,2.41328,2.83972
36.3,2.41993,2.82796
36.4,2.42678,2.82949
36.5,2.43332,2.85777
36.6,2.43991,2.81554
36.7,2.44677,2.85123
36.8,2.45336,2.83607
36.9,2.45994,2.87272
37,2.46675,2.86879
37.1,2.47334,2.87419
37.2,2.47998,2.87623
37.3,2.48673,2.86876
37.4,2.49327,2.86083
37.5,2.49991,2.85063
37.6,2.50671,2.86038
37.7,2.51336,2.87582
37.8,2.52,2.90893
37.9,2.52669,2.8769
38,2.53334,2.86935
38.1,2.54003,2.9033
38.2,2.54657,2.89134
38.3,2.55327,2.9075
38.4,2.56012,2.92087
38.5,2.56671,2.91711
38.6,2.57325,2.90415
38.7,2.58011,2.91269
38.8,2.58669,2.91919
38.9,2.59328,2.93216
39,2.60003,2.92703
39.1,2.60662,2.90895
39.2,2.61332,2.95965
39.3,2.62012,2.93829
39.4,2.62666,2.94508
39.5,2.63325,2.95351
39.6,2.64011,2.9437
39.7,2.64669,2.92319
39.8,2.65323,2.95048
39.9,2.66003,2.95564
40,2.66673,2.95491
40.1,2.67332,2.95494
40.2,2.68002,2.96477
40.3,2.68666,2.97709
40.4,2.69336,2.96294
40.5,2.7,2.99223
40.6,2.70659,2.94669
40.7,2.71334,3.00635
40.8,2.72003,2.99319
40.9,2.72662,2.98202
41,2.73337,2.99202
41.1,2.74002,2.97733
41.2,2.74666,3.00325
41.3,2.75341,2.98837
41.4,2.75989,2.96835
